variable,beta,method
lbx074la,0,Elastic Net
lbx099la,0.00414088018329091,Elastic Net
lbx118la,0.0059308604575107,Elastic Net
lbx138la,0,Elastic Net
lbx153la,0,Elastic Net
lbx170la,0,Elastic Net
lbx180la,0,Elastic Net
lbx187la,0,Elastic Net
lbxd03la,0,Elastic Net
lbxd05la,0,Elastic Net
lbxd07la,-0.00215759090415768,Elastic Net
lbxf03la,0.019737952732542,Elastic Net
lbxf04la,0,Elastic Net
lbxf05la,0,Elastic Net
lbxf08la,0.00398961562985993,Elastic Net
lbxpcbla,0.0103168645389869,Elastic Net
lbxhxcla,0.0036195837625597,Elastic Net
lbx194la,0,Elastic Net
lbxwbcsi,-0.00607670967783889,Elastic Net
lbxlypct,-0.00107334524095142,Elastic Net
lbxmopct,-0.00641426144496003,Elastic Net
lbxnepct,-1.91882366349635e-4,Elastic Net
lbxeopct,3.0393348313268e-6,Elastic Net
lbxbapct,0.0177186042434206,Elastic Net
bmi_cat32,-0.00476523641548945,Elastic Net
bmi_cat33,-0.018326702347382,Elastic Net
edu_cat2,0.0196747217123074,Elastic Net
edu_cat3,0.0359110082454967,Elastic Net
edu_cat4,0.0157644976345732,Elastic Net
race_cat2,-0.0297008964932612,Elastic Net
race_cat3,0.00317785978475303,Elastic Net
race_cat4,-0.0388327027877617,Elastic Net
male1,-0.0359285547512005,Elastic Net
ln_lbxcot,0.0032741857008622,Elastic Net
age_cent,-0.00656432293400424,Elastic Net
age_sq,-1.07548330136e-5,Elastic Net
lbx074la,0,Lasso
lbx099la,0.00233239851005607,Lasso
lbx118la,0.0041102234433308,Lasso
lbx138la,0,Lasso
lbx153la,0,Lasso
lbx170la,0,Lasso
lbx180la,0,Lasso
lbx187la,0,Lasso
lbxd03la,0,Lasso
lbxd05la,0,Lasso
lbxd07la,0,Lasso
lbxf03la,0.02309937191823,Lasso
lbxf04la,0,Lasso
lbxf05la,0,Lasso
lbxf08la,5.54558937332465e-4,Lasso
lbxpcbla,0.0109212743305355,Lasso
lbxhxcla,0,Lasso
lbx194la,0,Lasso
lbxwbcsi,-0.00621404249640505,Lasso
lbxlypct,-0.00111040664706627,Lasso
lbxmopct,-0.00648990469486322,Lasso
lbxnepct,-2.05059209767597e-4,Lasso
lbxeopct,7.41018990000298e-5,Lasso
lbxbapct,0.0176474214984457,Lasso
bmi_cat32,-0.00585131097142882,Lasso
bmi_cat33,-0.0193137975357509,Lasso
edu_cat2,0.0200526111401864,Lasso
edu_cat3,0.0362358976621801,Lasso
edu_cat4,0.0163793827717608,Lasso
race_cat2,-0.0323900079394087,Lasso
race_cat3,0.0042035717882999,Lasso
race_cat4,-0.0394685277575602,Lasso
male1,-0.034554697084343,Lasso
ln_lbxcot,0.00335303128551502,Lasso
age_cent,-0.00647037507439637,Lasso
age_sq,-1.11257751854496e-5,Lasso
