variable,beta,method
lbx074la,0,Grouped Lasso
lbx099la,0,Grouped Lasso
lbx118la,0.004030880582513309,Grouped Lasso
lbx138la,0,Grouped Lasso
lbx153la,0,Grouped Lasso
lbx170la,0,Grouped Lasso
lbx180la,0,Grouped Lasso
lbx187la,0,Grouped Lasso
lbxd03la,-0.004223928257006301,Grouped Lasso
lbxd05la,0.0023070112493548617,Grouped Lasso
lbxd07la,-0.007748683219646363,Grouped Lasso
lbxf03la,0.010567486205355447,Grouped Lasso
lbxf04la,0.0030215510671103107,Grouped Lasso
lbxf05la,-0.005530115540540511,Grouped Lasso
lbxf08la,0.006539747050042366,Grouped Lasso
lbxpcbla,0.011761758849259259,Grouped Lasso
lbxhxcla,0.007957388793175708,Grouped Lasso
lbx194la,0,Grouped Lasso
lbxwbcsi,-0.006322008773479829,Grouped Lasso
lbxlypct,-0.001441188707534137,Grouped Lasso
lbxmopct,-0.006388644253097838,Grouped Lasso
lbxnepct,-5.686055552722609e-4,Grouped Lasso
lbxeopct,-5.836029910508151e-4,Grouped Lasso
lbxbapct,0.018161160211208408,Grouped Lasso
bmi_cat32,-0.004072083281624905,Grouped Lasso
bmi_cat33,-0.01797071935714536,Grouped Lasso
edu_cat2,0.019490983382266784,Grouped Lasso
edu_cat3,0.036045383692485375,Grouped Lasso
edu_cat4,0.015007297450549175,Grouped Lasso
race_cat2,-0.029338589170181176,Grouped Lasso
race_cat3,0.010026053612147154,Grouped Lasso
race_cat4,-0.03466793694563407,Grouped Lasso
male1,-0.040609981647370896,Grouped Lasso
ln_lbxcot,0.003438676769279699,Grouped Lasso
age_cent,-0.006127392518749546,Grouped Lasso
age_sq,-1.0364046238464285e-5,Grouped Lasso
lbx074la,0,MCP
lbx099la,0,MCP
lbx118la,0,MCP
lbx138la,0,MCP
lbx153la,0,MCP
lbx170la,0,MCP
lbx180la,0,MCP
lbx187la,0,MCP
lbxd03la,0,MCP
lbxd05la,0,MCP
lbxd07la,0,MCP
lbxf03la,0,MCP
lbxf04la,0,MCP
lbxf05la,0,MCP
lbxf08la,0,MCP
lbxpcbla,0.009675409361243559,MCP
lbxhxcla,0.005532614495761686,MCP
lbx194la,0,MCP
lbxwbcsi,-0.0065853528052602995,MCP
lbxlypct,-9.43345379161847e-4,MCP
lbxmopct,-0.005720846469625731,MCP
lbxnepct,-1.8403711055323702e-4,MCP
lbxeopct,-1.5119500068259912e-4,MCP
lbxbapct,0.01902302518869712,MCP
bmi_cat32,-0.004784750479399683,MCP
bmi_cat33,-0.018368306397714914,MCP
edu_cat2,0.019844518473875614,MCP
edu_cat3,0.036634714555128865,MCP
edu_cat4,0.01651200485676396,MCP
race_cat2,-0.03457828203867219,MCP
race_cat3,0.008902188420220383,MCP
race_cat4,-0.03600654808855095,MCP
male1,-0.039081709910396965,MCP
ln_lbxcot,0.0030726979754031056,MCP
age_cent,-0.005956663167505783,MCP
age_sq,-7.546894643527034e-6,MCP
lbx074la,0,SCAD
lbx099la,0,SCAD
lbx118la,1.0833451638928228e-4,SCAD
lbx138la,0,SCAD
lbx153la,0,SCAD
lbx170la,0,SCAD
lbx180la,0,SCAD
lbx187la,0,SCAD
lbxd03la,-1.5911438030349515e-4,SCAD
lbxd05la,6.624097732150536e-5,SCAD
lbxd07la,-2.6034744211756366e-4,SCAD
lbxf03la,3.6461199883138634e-4,SCAD
lbxf04la,1.099796849509632e-4,SCAD
lbxf05la,-2.2234363787965332e-4,SCAD
lbxf08la,2.297335511919755e-4,SCAD
lbxpcbla,0.017007265063922482,SCAD
lbxhxcla,0.014851619022321178,SCAD
lbx194la,0,SCAD
lbxwbcsi,-0.006363789382273733,SCAD
lbxlypct,-0.003655472380644813,SCAD
lbxmopct,-0.008423203209262198,SCAD
lbxnepct,-0.0028051711633066676,SCAD
lbxeopct,-0.0028460291156408232,SCAD
lbxbapct,0.01592572189562148,SCAD
bmi_cat32,-0.003143767136856321,SCAD
bmi_cat33,-0.018459343141826626,SCAD
edu_cat2,0.01788835647554196,SCAD
edu_cat3,0.03486743546023488,SCAD
edu_cat4,0.014771100001218274,SCAD
race_cat2,-0.029788302431340095,SCAD
race_cat3,0.008370555351472072,SCAD
race_cat4,-0.03477836930827204,SCAD
male1,-0.040098163680148166,SCAD
ln_lbxcot,0.0033603376929091278,SCAD
age_cent,-0.006439437912941436,SCAD
age_sq,-6.475489861839187e-6,SCAD
