variable,beta,method
lbx074la,0,Grouped Lasso
lbx099la,0,Grouped Lasso
lbx118la,0.00403088058251331,Grouped Lasso
lbx138la,0,Grouped Lasso
lbx153la,0,Grouped Lasso
lbx170la,0,Grouped Lasso
lbx180la,0,Grouped Lasso
lbx187la,0,Grouped Lasso
lbxwbcsi,-0.00632200877347983,Grouped Lasso
lbxlypct,-0.00144118870753414,Grouped Lasso
lbxmopct,-0.00638864425309784,Grouped Lasso
lbxnepct,-5.68605555272261e-4,Grouped Lasso
lbxeopct,-5.83602991050815e-4,Grouped Lasso
lbxbapct,0.0181611602112084,Grouped Lasso
lbxd03la,-0.0042239282570063,Grouped Lasso
lbxd05la,0.00230701124935486,Grouped Lasso
lbxd07la,-0.00774868321964636,Grouped Lasso
lbxf03la,0.0105674862053554,Grouped Lasso
lbxf04la,0.00302155106711031,Grouped Lasso
lbxf05la,-0.00553011554054051,Grouped Lasso
lbxf08la,0.00653974705004237,Grouped Lasso
lbxpcbla,0.0117617588492593,Grouped Lasso
lbxhxcla,0.00795738879317571,Grouped Lasso
lbx194la,0,Grouped Lasso
bmi_cat32,-0.0040720832816249,Grouped Lasso
bmi_cat33,-0.0179707193571454,Grouped Lasso
edu_cat2,0.0194909833822668,Grouped Lasso
edu_cat3,0.0360453836924854,Grouped Lasso
edu_cat4,0.0150072974505492,Grouped Lasso
race_cat2,-0.0293385891701812,Grouped Lasso
race_cat3,0.0100260536121472,Grouped Lasso
race_cat4,-0.0346679369456341,Grouped Lasso
male1,-0.0406099816473709,Grouped Lasso
ln_lbxcot,0.0034386767692797,Grouped Lasso
age_cent,-0.00612739251874955,Grouped Lasso
age_sq,-1.03640462384643e-5,Grouped Lasso
lbx074la,0,MCP
lbx099la,0,MCP
lbx118la,0,MCP
lbx138la,0,MCP
lbx153la,0,MCP
lbx170la,0,MCP
lbx180la,0,MCP
lbx187la,0,MCP
lbxwbcsi,-0.0065853528052603,MCP
lbxlypct,-9.43345379161847e-4,MCP
lbxmopct,-0.00572084646962573,MCP
lbxnepct,-1.84037110553237e-4,MCP
lbxeopct,-1.51195000682599e-4,MCP
lbxbapct,0.0190230251886971,MCP
lbxd03la,0,MCP
lbxd05la,0,MCP
lbxd07la,0,MCP
lbxf03la,0,MCP
lbxf04la,0,MCP
lbxf05la,0,MCP
lbxf08la,0,MCP
lbxpcbla,0.00967540936124356,MCP
lbxhxcla,0.00553261449576169,MCP
lbx194la,0,MCP
bmi_cat32,-0.00478475047939968,MCP
bmi_cat33,-0.0183683063977149,MCP
edu_cat2,0.0198445184738756,MCP
edu_cat3,0.0366347145551289,MCP
edu_cat4,0.016512004856764,MCP
race_cat2,-0.0345782820386722,MCP
race_cat3,0.00890218842022038,MCP
race_cat4,-0.036006548088551,MCP
male1,-0.039081709910397,MCP
ln_lbxcot,0.00307269797540311,MCP
age_cent,-0.00595666316750578,MCP
age_sq,-7.54689464352703e-6,MCP
lbx074la,0,SCAD
lbx099la,0,SCAD
lbx118la,1.08334516389282e-4,SCAD
lbx138la,0,SCAD
lbx153la,0,SCAD
lbx170la,0,SCAD
lbx180la,0,SCAD
lbx187la,0,SCAD
lbxwbcsi,-0.00636378938227373,SCAD
lbxlypct,-0.00365547238064481,SCAD
lbxmopct,-0.0084232032092622,SCAD
lbxnepct,-0.00280517116330667,SCAD
lbxeopct,-0.00284602911564082,SCAD
lbxbapct,0.0159257218956215,SCAD
lbxd03la,-1.59114380303495e-4,SCAD
lbxd05la,6.62409773215054e-5,SCAD
lbxd07la,-2.60347442117564e-4,SCAD
lbxf03la,3.64611998831386e-4,SCAD
lbxf04la,1.09979684950963e-4,SCAD
lbxf05la,-2.22343637879653e-4,SCAD
lbxf08la,2.29733551191976e-4,SCAD
lbxpcbla,0.0170072650639225,SCAD
lbxhxcla,0.0148516190223212,SCAD
lbx194la,0,SCAD
bmi_cat32,-0.00314376713685632,SCAD
bmi_cat33,-0.0184593431418266,SCAD
edu_cat2,0.017888356475542,SCAD
edu_cat3,0.0348674354602349,SCAD
edu_cat4,0.0147711000012183,SCAD
race_cat2,-0.0297883024313401,SCAD
race_cat3,0.00837055535147207,SCAD
race_cat4,-0.034778369308272,SCAD
male1,-0.0400981636801482,SCAD
ln_lbxcot,0.00336033769290913,SCAD
age_cent,-0.00643943791294144,SCAD
age_sq,-6.47548986183919e-6,SCAD
